round,benign_accuracy,attack_success_rate,confidence,loss,model_norm
0,0.45100000500679016,0.8629999756813049,0.5606229901313782,0.7362101078033447,5.879692627152871
1,0.45100000500679016,0.8399999737739563,0.5557969212532043,0.7305278182029724,5.878868848111746
2,0.4519999921321869,0.8019999861717224,0.5510404109954834,0.7251196503639221,5.878147454558795
3,0.44999998807907104,0.7820000052452087,0.5473310351371765,0.7201241254806519,5.877486835882588
4,0.45100000500679016,0.7540000081062317,0.5438179969787598,0.7156436443328857,5.876911565829262
5,0.46000000834465027,0.7300000190734863,0.5409275889396667,0.7115614414215088,5.876429978830117
6,0.46000000834465027,0.6790000200271606,0.5381810069084167,0.7075138688087463,5.876079334217125
7,0.4690000116825104,0.6460000276565552,0.5357167720794678,0.703600287437439,5.875761566868894
